flight_key,airline_id,airport_code_depart_id,airport_code_arrival_id,flight_duration,number_seats_total,number_of_stops,connection_flight,flight_number,datetime_scraped,number_seats_available,ticket_price,datetime_depart,datetime_arrival,id,name,code,full_name
"1001ANR2023-04-30 08:30:00AGP2023-04-30 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:43:49",8,309.99,"2023-04-30 08:30:00","2023-04-30 11:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-30 08:30:00AGP2023-04-30 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:00",8,309.99,"2023-04-30 08:30:00","2023-04-30 11:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-30 08:30:00AGP2023-04-30 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:12",8,309.99,"2023-04-30 08:30:00","2023-04-30 11:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-30 08:30:00AGP2023-04-30 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:24",8,309.99,"2023-04-30 08:30:00","2023-04-30 11:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-30 08:30:00AGP2023-04-30 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:35",8,309.99,"2023-04-30 08:30:00","2023-04-30 11:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-30 08:30:00AGP2023-04-30 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:47",8,309.99,"2023-04-30 08:30:00","2023-04-30 11:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-01 15:20:00AGP2023-05-01 18:25:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:43:49",10,279.99,"2023-05-01 15:20:00","2023-05-01 18:25:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-01 15:20:00AGP2023-05-01 18:25:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:00",10,279.99,"2023-05-01 15:20:00","2023-05-01 18:25:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-01 15:20:00AGP2023-05-01 18:25:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:12",10,279.99,"2023-05-01 15:20:00","2023-05-01 18:25:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-01 15:20:00AGP2023-05-01 18:25:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:24",10,279.99,"2023-05-01 15:20:00","2023-05-01 18:25:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-01 15:20:00AGP2023-05-01 18:25:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:35",10,279.99,"2023-05-01 15:20:00","2023-05-01 18:25:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-01 15:20:00AGP2023-05-01 18:25:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:47",10,279.99,"2023-05-01 15:20:00","2023-05-01 18:25:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-01 15:20:00AGP2023-05-01 18:25:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:58",10,279.99,"2023-05-01 15:20:00","2023-05-01 18:25:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-04 08:05:00AGP2023-05-04 11:10:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:24",1,319.99,"2023-05-04 08:05:00","2023-05-04 11:10:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-04 08:05:00AGP2023-05-04 11:10:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:35",1,319.99,"2023-05-04 08:05:00","2023-05-04 11:10:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-04 08:05:00AGP2023-05-04 11:10:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:47",1,319.99,"2023-05-04 08:05:00","2023-05-04 11:10:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-04 08:05:00AGP2023-05-04 11:10:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:58",1,319.99,"2023-05-04 08:05:00","2023-05-04 11:10:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-04 08:05:00AGP2023-05-04 11:10:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:45:09",1,319.99,"2023-05-04 08:05:00","2023-05-04 11:10:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-04 08:05:00AGP2023-05-04 11:10:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:45:20",1,319.99,"2023-05-04 08:05:00","2023-05-04 11:10:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-04 08:05:00AGP2023-05-04 11:10:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:45:31",1,319.99,"2023-05-04 08:05:00","2023-05-04 11:10:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-07 08:30:00AGP2023-05-07 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:44:58",10,184.99,"2023-05-07 08:30:00","2023-05-07 11:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-05-07 08:30:00AGP2023-05-07 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:45:09",10,184.99,"2023-05-07 08:30:00","2023-05-07 11:35:00",3,TuiFly,AGP,Malaga
